experiment,f1_macro,auc_macro
E6_ensemble_mixed,0.7399831894048942,0.9299153713370796
convnext_tiny_focal_E4_seed123,0.6869469832569075,0.9042717085092874
convnext_tiny_focal_E4_seed42,0.6693237267628134,0.8709259952485469
E6_ensemble_mixed_avg,0.6664311769123484,0.9152847270817062
densenet121_focal_E2_seed2024,0.6364602110221838,0.8996447727005796
densenet121_focal_E2_seed42,0.6178941849494931,0.8902510903530945
efficientnet_b0_weighted_cross_entropy_sampler_E3,0.6130499139414802,0.8245704064728671
densenet121_focal_E2_seed7,0.5842246526181887,0.8799068765926196
convnext_tiny_focal_E4_seed2024,0.577022991387447,0.845660396559462
densenet121_focal_E2_seed123,0.5644079667090427,0.8262174232629274
efficientnet_b0_clahe_weighted_cross_entropy_E1,0.5470362013638187,0.8116765493572402
resnet18_clahe_weighted_cross_entropy_E0,0.5442451071761416,0.8355768681230742
convnext_tiny_focal_E4_seed7,0.537431509524748,0.8382270758043167
densenet121_focal_E2_seed777,0.533162900518443,0.8412675067329303
convnext_tiny_focal_E4_seed777,0.5068060638738209,0.8226969129085604
deit_tiny_focal_E5,0.4761974040081582,0.7744453203748429
